# unit;contract address;decimals
1SG;0x0f72714b35a366285df85886a2ee174601292a17;18
1ST;0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7;18
1WO;0xfdbc1adc26f0f8f8606a5d63b7d3a3cd21c22b23;8
999;0xbf05571988daab22d33c28bbb13566eae9dee626;3
ABL;0xf8b358b3397a8ea5464f8cc753645d42e14b79ea;18
ABT;0xb98d4c97425d9908e66e53a6fdf673acca0be986;18
ABYSS;0x0e8d6b471e332f140e7d9dbb99e5e3822f728da6;18
ADN;0x95a41fb80ca70306e9ecf4e51cea31bd18379c18;18
ADT;0xd0d6d6c5fe4a677d343cc433536bb717bae167dd;9
ADX;0x4470bb87d77b963a013db939be332f927f2b992e;4
AEN;0x0bef619cf38cf0c22967289b8419720fbd1db9f7;8
AERGO;0xae31b85bfe62747d0836b82608b4830361a3d37a;18
AFIN;0xee9e5eff401ee921b138490d00ca8d1f13f67a72;8
AGI;0x8eb24319393716668d768dcec29356ae9cffe285;8
AGRO;0x1fd27f0cfc6f273b87a5e0f6fcf063422e7bcd6a;18
AGVC;0x8b79656fc38a04044e495e22fad747126ca305c4;18
AIDOC;0x584b44853680ee34a0f337b712a8f66d816df151;18
AMB;0x4dc3643dbc642b72c158e7f3d2ff232df61cb6ce;18
AMIO;0x2e68dfb3f50ea302c88f8db74096d57565d9970a;18
AMLT;0xca0e7269600d353f70b14ad118a49575455c0f2f;18
AMO;0x38c87aa89b2b8cd9b95b736e1fa7b612ea972169;18
AMPL;0xd46ba6d942050d489dbd938a2c909a5d5039a161;9
ANCT;0x5456bc77dd275c45c3c15f0cf936b763cf57c3b5;8
ANKR;0x8290333cef9e6d528dd5618fb97a76f268f3edd4;18
ANT;0x960b236a07cf122663c4303350609a66a7b288c0;18
AOA;0x9ab165d795019b6d8b3e971dda91071421305e5a;18
APPC;0x1a7a8bd9106f2b8d977e08582dc7d24c723ab0db;18
ARN;0xba5f11b16b155792cf3b2e6880e8706859a8aeb6;8
ARPA;0xba50933c268f567bdc86e1ac131be072c6b0b71a;18
AST;0x27054b13b1b798b345b591a4d22e6562d47ea75a;4
AT;0xe54b3458c47e44c37a267e7c633afef88287c294;5
ATCC;0xddaaf4a0702a03a4505f2352a1aba001ffc344be;18
ATL;0x78b7fada55a64dd895d8c8c35779dd8b67fa8a05;18
ATN;0x461733c17b0755ca5649b6db08b3e213fcf22546;18
AUTO;0x622dffcc4e83c64ba959530a5a5580687a57581b;18
B2B;0x5d51fcced3114a8bb5e90cdd0f9d682bcbcc5393;18
BAAS;0x3e65e1eefde5ea7ccfc9a9a1634abe90f32262f8;18
BAND;0xba11d00c5f74255f56a5e366f4f77f5a186d7f55;18
BAT;0x0d8775f648430679a709e98d2b0cb6250d2887ef;18
BAX;0x9a0242b7a33dacbe40edb927834f96eb39f8fbcb;18
BBK;0x4a6058666cf1057eac3cd3a5a614620547559fc9;18
BCPT;0x1c4481750daa5ff521a2a7490d9981ed46465dbd;18
BCV;0x1014613e2b3cbc4d575054d4982e580d9b99d7b1;8
BCZERO;0xd45247c07379d94904e0a87b4481f0a1ddfa0c64;18
BDP;0x593114f03a0a575aece9ed675e52ed68d2172b8c;18
BET;0x8aa33a7899fcc8ea5fbe6a608a109c3893a1b8b2;18
BF;0x5b71bee9d961b1b848f8485eec8d8787f80217f5;18
BFT;0x01ff50f8b7f74e4f00580d9596cd3d0d6d6e326f;18
BHT;0xfc29b6e626b67776675fff55d5bc0452d042f434;18
BIX;0xb3104b4b9da82025e8b9f8fb28b3553ce2f67069;18
BLT;0x107c4504cd79c5d2696ea0030a8dd4e92601b82e;18
BLZ;0x5732046a883704404f284ce41ffadd5b007fd668;18
BMC;0xdf6ef343350780bf8c3410bf062e0c015b1dd671;8
BMX;0x986ee2b944c42d017f52af21c4c69b84dbea35d8;18
BNANA;0x07ef9e82721ac16809d24dafbe1792ce01654db4;18
BNK;0xc80c5e40220172b36adee2c951f26f2a577810c5;8
BNT;0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c;18
BOA;0x746dda2ea243400d5a63e0700f190ab79f06489e;7
BOLT;0x9f235d23354857efe6c541db92a9ef1877689bcb;18
BORA;0x26fb86579e371c7aedc461b2ddef0a8628c93d3b;18
BOTX;0xef19f4e48830093ce5bc8b3ff7f903a0ae3e9fa1;18
BOX;0xe1a178b681bd05964d3e3ed33ae731577d9d96dd;18
BOX;0x63f584fa56e60e4d0fe8802b27c7e6e3b33e007f;18
BPT;0x327682779bab2bf4d1337e8974ab9de8275a7ca8;18
BQQQ;0x1b80eeeadcc590f305945bcc258cfa770bbe1890;18
BQTX;0x9d8be94d0612170ce533ac4d7b43cc3cd91e5a1a;18
BRD;0x558ec3152e2eb2174905cd19aea4e34a23de9ad6;18
BRZE;0x77c07555af5ffdc946fb47ce15ea68620e4e7170;18
BTMX;0x1c289a12a8552b314d0d153d6991fd27a54aa640;18
BTR;0xd433138d12beb9929ff6fd583dc83663eea6aaa5;18
BTT;0xfa456cf55250a839088b27ee32a424d7dacb54ff;18
BTU;0xb683d83a532e2cb7dfa5275eed3698436371cc9f;18
BUSD;0x4fabb145d64652a948d72533023f6e7a623c7c53;18
BWX;0xce5114d7fa8361f0c088ee26fa3a5446c4a1f50b;18
BXK;0xeb6985acd6d0cbff60b88032b0b29ac1d9d66a1b;18
BZ;0x4375e7ad8a01b8ec3ed041399f62d9cd120e0063;18
BZNT;0xe1aee98495365fc179699c1bb3e761fa716bee62;18
C20;0x26e75307fc0c021472feb8f727839531f112f317;18
CAG;0x7d4b8cce0591c9044a22ee543533b72e976e36c3;18
CAJ;0x3c6a7ab47b5f058be0e7c7fe1a4b7925b8aca40e;18
CAN;0x1d462414fe14cf489c7a21cac78509f4bf8cd7c0;6
CAS;0xe8780b48bdb05f928697a5e8155f672ed91462f7;18
CBC;0x26db5439f651caf491a87d48799da81f191bdb6b;8
CBT;0x076c97e1c869072ee22f8c91978c99b4bcb02591;18
CCC;0xbf59e6fe2bc4ee8d303e493390b4aacab16fcc91;18
CDT;0x177d39ac676ed1c67a2b268ad7f1e58826e5b0af;18
CEEK;0xb056c38f6b7dc4064367403e26424cd2c60655e1;18
CELR;0x4f9254c83eb525f9fcf346490bbb3ed28a81c667;18
CENNZ;0x1122b6a0e00dce0563082b6e2953f3a943855c1f;18
CET;0x081f67afa0ccf8c7b17540767bbe95df2ba8d97f;18
CHP;0xf3db7560e820834658b590c96234c333cd3d5e5e;18
CHR;0x915044526758533dfb918eceb6e44bc21632060d;6
CHSB;0xba9d4199fab4f26efe3551d490e3821486f135ba;8
CHZ;0x3506424f91fd33084466f402d5d97f05f8e3b4af;18
CIX100;0x6393e822874728f8afa7e1c9944e417d37ca5878;18
CLR;0x2396fbc0e2e3ae4b7206ebdb5706e2a5920349cb;18
CND;0xd4c435f5b09f855c3317c8524cb1f586e42795fa;18
CNN;0x8713d26637cf49e1b6b4a7ce57106aabc9325343;18
COCOS;0x0c6f5f7d555e7518f6841a79436bd2b1eef03381;18
CON;0x4dd672e77c795844fe3a464ef8ef0faae617c8fb;18
CONST;0x4983f767b1bc44328e434729ddabea0a064ca1ac;2
COSM;0xd1e10c37a27d95d95720291b1dc6f12f74c71443;18
COV;0xe2fb6529ef566a080e6d23de0bd351311087d567;18
CPAY;0x0ebb614204e47c09b6c3feb9aaecad8ee060e23e;0
CPC;0xfae4ee59cdd86e3be9e8b90b53aa866327d7c090;18
CPT;0x9b62513c8a27290cf6a7a9e29386e600245ea819;18
CPT;0x88d50b466be55222019d71f9e8fae17f5f45fca1;8
CRE;0x115ec79f1de567ec68b7ae7eda501b406626478e;18
CREDO;0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be;18
CRO;0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b;8
CRPT;0x80a7e048f37a50500351c204cb407766fa3bae7f;18
CS;0x46b9ad944d1059450da1163511069c718f699d31;6
CSNO;0x29d75277ac7f0335b2165d0895e8725cbf658d73;8
CSP;0xa6446d655a0c34bc4f05042ee88170d056cbaf45;18
CTXC;0xea11755ae41d889ceec39a63e6ff75a02bc1c00d;18
CV;0xda6cb58a0d0c01610a29c5a65c303e13e885887c;18
CVC;0x41e5560054824ea6b0732e656e3ad64e20e94e45;8
CVNT;0x6400b5522f8d448c0803e6245436dd1c81df09ce;8
CVT;0xbe428c3867f05dea2a89fc76a102b544eac7f772;18
CWV;0xed494c9e2f8e34e53bdd0ea9b4d80305cb15c5c2;18
CYMT;0x78c292d1445e6b9558bf42e8bc369271ded062ea;8
CZR;0x0223fc70574214f65813fe336d870ac47e147fae;18
DAC;0xaad54c9f27b876d2538455dda69207279ff673a5;18
DACS;0xa31108e5bab5494560db34c95492658af239357c;18
DADI;0xfb2f26f266fb2805a387230f2aa0a331b4d96fba;18
DAG;0xa8258abc8f2811dd48eccd209db68f25e3e34667;8
DAGT;0x56d1ae30c97288da4b58bc39f026091778e4e316;18
DAI;0x6b175474e89094c44da98b954eedeac495271d0f;18
DATA;0x0cf0ee63788a0849fe5297f3407f701e122cc023;18
DCN;0x08d32b0da63e2c3bcf8019c9c5d849d7a9d791e6;0
DDD;0x9f5f3cfd7a32700c93f971637407ff17b91c7342;18
DEC;0x89c6c856a6db3e46107163d0cda7a7ff211bd655;18
DENT;0x3597bfd533a99c9aa083587b074434e61eb0a258;8
DEX;0x497baef294c11a5f0f5bea3f2adb3073db448b56;18
DGD;0xe0b7927c4af23765cb51314a0e0521a9645f0e2a;9
DGTX;0x1c83501478f1320977047008496dacbd60bb15ef;18
DGX;0x4f3afec4e5a3f2a6a1a411def7d7dfe50ee057bf;9
DICE;0x2e071d2966aa7d8decb1005885ba1977d6038a65;16
DLT;0x07e3c70653548b04f0a75970c1f81b4cbbfb606f;18
DMT;0x2ccbff3a042c68716ed2a2cb0c544a9f1d1935e1;8
DNT;0x0abdace70d3790235af448c88547603b945604ea;18
DOCK;0xe5dada80aa6477e85d09747f2842f7993d0df71c;18
DPT;0x10c71515602429c19d53011ea7040b87a4894838;18
DREAM;0x82f4ded9cec9b5750fbff5c2185aee35afc16587;6
DRG;0x814f67fa286f7572b041d041b1d99b432c9155ee;8
